title,release_year,runtime_minutes,imdb_rating,Meta_score,No_of_Votes,Genre
Before Midnight,2013,109,7.9,94,141457,"Drama, Romance"
X-Men: Days of Future Past,2014,132,7.9,75,659763,"Action, Adventure, Sci-Fi"
Nightcrawler,2014,117,7.9,76,466134,"Crime, Drama, Thriller"
Boyhood,2014,165,7.9,100,335533,Drama
Edge of Tomorrow,2014,113,7.9,71,600004,"Action, Adventure, Sci-Fi"
Star Wars: Episode VII - The Force Awakens,2015,138,7.9,80,860823,"Action, Adventure, Sci-Fi"
Sing Street,2016,106,7.9,79,85109,"Comedy, Drama, Music"
Captain Fantastic,2016,118,7.9,72,189400,"Comedy, Drama"
Arrival,2016,116,7.9,81,594181,"Drama, Sci-Fi"
Hunt for the Wilderpeople,2016,101,7.9,81,111483,"Adventure, Comedy, Drama"
"I, Daniel Blake",2016,100,7.9,78,53818,Drama
Thor: Ragnarok,2017,130,7.9,74,587775,"Action, Adventure, Comedy"
Call Me by Your Name,2017,132,7.9,93,212651,"Drama, Romance"
Isle of Dogs,2018,101,7.9,82,139114,"Animation, Adventure, Comedy"
Manbiki kazoku,2018,121,7.9,93,62754,"Crime, Drama"
Knives Out,2019,130,7.9,82,454203,"Comedy, Crime, Drama"
Jojo Rabbit,2019,108,7.9,58,297918,"Comedy, Drama, War"
Marriage Story,2019,137,7.9,94,246644,"Comedy, Drama, Romance"
The Irishman,2019,209,7.9,94,324720,"Biography, Crime, Drama"
Dil Bechara,2020,101,7.9,,111478,"Comedy, Drama, Romance"
Bronenosets Potemkin,1925,75,8.0,97,53054,"Drama, History, Thriller"
All Quiet on the Western Front,1930,152,8.0,91,57318,"Drama, War"
The Thin Man,1934,91,8.0,86,26642,"Comedy, Crime, Mystery"
La règle du jeu,1939,110,8.0,,26725,"Comedy, Drama"
The Wizard of Oz,1939,102,8.0,92,371379,"Adventure, Family, Fantasy"
The Grapes of Wrath,1940,129,8.0,96,85559,"Drama, History"
The Maltese Falcon,1941,100,8.0,96,148928,"Film-Noir, Mystery"
Arsenic and Old Lace,1942,118,8.0,,65101,"Comedy, Crime, Thriller"
Laura,1944,88,8.0,,42725,"Drama, Film-Noir, Mystery"
Brief Encounter,1945,86,8.0,92,35601,"Drama, Romance"
The Best Years of Our Lives,1946,170,8.0,93,57259,"Drama, Romance, War"
